Municipality,In_Degree,Out_Degree,Total_Degree,Centrality_Type
京都府京都市西京区,6,4,10,Balanced
京都府京都市右京区,5,5,10,Balanced
京都府京都市伏見区,2,6,8,Source
京都府京都市南区,5,1,6,Hub
京都府京都市下京区,4,2,6,Hub
大阪府枚方市,2,4,6,Source
京都府亀岡市,2,3,5,Balanced
京都府京都市左京区,2,3,5,Balanced
京都府京都市北区,4,1,5,Hub
京都府京都市中京区,2,2,4,Balanced
奈良県奈良市,0,4,4,Source
京都府木津川市,3,1,4,Hub
京都府京都市上京区,3,1,4,Hub
京都府向日市,1,2,3,Source
京都府京田辺市,2,1,3,Hub
京都府京都市山科区,3,0,3,Hub
滋賀県大津市,0,3,3,Source
大阪府寝屋川市,2,0,2,Hub
大阪府高槻市,1,1,2,Balanced
京都府八幡市,1,1,2,Balanced
京都府京都市東山区,1,1,2,Balanced
京都府,2,0,2,Hub
京都府長岡京市,1,1,2,Balanced
京都府宇治市,1,1,2,Balanced
京都府城陽市,0,2,2,Source
京都府南丹市,1,1,2,Balanced
京都府与謝郡与謝野町,1,0,1,Hub
京都府京丹後市,0,1,1,Source
兵庫県,1,0,1,Hub
大阪府大阪市淀川区,0,1,1,Source
京都府相楽郡精華町,0,1,1,Source
兵庫県神戸市須磨区,1,0,1,Hub
大阪府三島郡島本町,0,1,1,Source
大阪府茨木市,1,0,1,Hub
大阪府大阪市西淀川区,0,1,1,Source
大阪府堺市堺区,0,1,1,Source
奈良県大和郡山市,1,0,1,Hub
奈良県橿原市,0,1,1,Source
奈良県生駒市,1,0,1,Hub
奈良県磯城郡田原本町,0,1,1,Source
奈良県桜井市,1,0,1,Hub
奈良県葛城市,1,0,1,Hub
山口県山口市,0,1,1,Source
広島県福山市,0,1,1,Source
滋賀県東近江市,0,1,1,Source
神奈川県横浜市港南区,1,0,1,Hub
神奈川県横浜市磯子区,0,1,1,Source
神奈川県横須賀市,0,1,1,Source
鹿児島県鹿児島市,0,1,1,Source
