segment_id,segment_name,detail_type,detail_key,detail_value
0,若年層地元密着型,特徴,年齢層,20代が66%を占める
0,若年層地元密着型,特徴,性別,女性72%
0,若年層地元密着型,行動パターン,希望地数,平均0.0箇所
0,若年層地元密着型,推奨アプローチ,採用戦略,地元密着型の求人を重点的に提供
1,中年層地元密着型,特徴,年齢層,40代が100%を占める
1,中年層地元密着型,特徴,性別,女性69%
1,中年層地元密着型,行動パターン,希望地数,平均0.0箇所
1,中年層地元密着型,推奨アプローチ,採用戦略,地元密着型の求人を重点的に提供
2,中高年層地元密着型,特徴,年齢層,60代が80%を占める
2,中高年層地元密着型,特徴,性別,女性60%
2,中高年層地元密着型,行動パターン,希望地数,平均0.0箇所
2,中高年層地元密着型,推奨アプローチ,採用戦略,地元密着型の求人を重点的に提供
3,中高年層地元密着型,特徴,年齢層,50代が100%を占める
3,中高年層地元密着型,特徴,性別,女性74%
3,中高年層地元密着型,行動パターン,希望地数,平均0.0箇所
3,中高年層地元密着型,推奨アプローチ,採用戦略,地元密着型の求人を重点的に提供
4,中年層地元密着型,特徴,年齢層,30代が77%を占める
4,中年層地元密着型,特徴,性別,女性64%
4,中年層地元密着型,行動パターン,希望地数,平均0.0箇所
4,中年層地元密着型,推奨アプローチ,採用戦略,地元密着型の求人を重点的に提供
