Source_Municipality,Target_Municipality,Flow_Count
京都府亀岡市,京都府京都市西京区,2
京都府京都市伏見区,京都府京都市南区,2
京都府京都市西京区,京都府京都市右京区,2
京都府京都市右京区,京都府京都市西京区,2
京都府京都市左京区,京都府京都市北区,2
大阪府枚方市,大阪府寝屋川市,2
奈良県奈良市,京都府木津川市,2
京都府京丹後市,京都府与謝郡与謝野町,1
京都府京都市下京区,京都府京都市伏見区,1
京都府亀岡市,京都府南丹市,1
京都府京都市中京区,京都府京都市右京区,1
京都府京都市中京区,京都府京都市北区,1
京都府京都市下京区,京都府京都市南区,1
京都府京都市伏見区,京都府京都市右京区,1
京都府京都市北区,京都府京都市上京区,1
京都府京都市伏見区,京都府京都市山科区,1
京都府京都市伏見区,京都府京都市西京区,1
京都府京都市伏見区,京都府宇治市,1
京都府京都市右京区,京都府京都市中京区,1
京都府京都市右京区,京都府亀岡市,1
京都府京都市南区,京都府京都市東山区,1
京都府京都市右京区,京都府京都市右京区,1
京都府京都市左京区,京都府京都市上京区,1
京都府京都市東山区,京都府京都市左京区,1
京都府京都市上京区,京都府京都市北区,1
京都府京田辺市,京都府京田辺市,1
京都府京都市西京区,京都府京都市南区,1
京都府京都市西京区,京都府京都市下京区,1
京都府向日市,京都府京都市南区,1
京都府八幡市,大阪府枚方市,1
京都府城陽市,京都府京都市西京区,1
京都府城陽市,京都府八幡市,1
京都府宇治市,京都府京都市下京区,1
京都府南丹市,京都府亀岡市,1
京都府木津川市,京都府木津川市,1
京都府相楽郡精華町,京都府京都市左京区,1
大阪府三島郡島本町,大阪府高槻市,1
京都府長岡京市,京都府向日市,1
大阪府堺市堺区,京都府,1
大阪府大阪市淀川区,兵庫県,1
大阪府大阪市西淀川区,京都府京都市伏見区,1
京都府向日市,京都府長岡京市,1
大阪府枚方市,京都府京田辺市,1
大阪府枚方市,大阪府枚方市,1
大阪府高槻市,大阪府茨木市,1
奈良県奈良市,奈良県大和郡山市,1
奈良県奈良市,奈良県生駒市,1
奈良県橿原市,奈良県葛城市,1
奈良県磯城郡田原本町,奈良県桜井市,1
山口県山口市,兵庫県神戸市須磨区,1
広島県福山市,京都府,1
滋賀県大津市,京都府京都市上京区,1
滋賀県大津市,京都府京都市下京区,1
滋賀県大津市,京都府京都市山科区,1
滋賀県東近江市,京都府京都市下京区,1
神奈川県横浜市磯子区,神奈川県横浜市港南区,1
神奈川県横須賀市,京都府京都市山科区,1
鹿児島県鹿児島市,京都府京都市中京区,1
