persona_name,age_group,gender,count,avg_age,avg_desired_areas,avg_qualifications,national_license_rate,employment_rate,top_residence_pref
50代・女性,50代,女性,1398,54.54577968526466,2.6773962804005724,1.511444921316166,0.0178826895565093,0.7339055793991416,京都府
40代・女性,40代,女性,997,44.90972918756269,2.752256770310933,1.5586760280842527,0.025075225677031094,0.691073219658977,京都府
60代・女性,60代,女性,931,63.77228786251343,2.7035445757250267,1.4092373791621913,0.034371643394199784,0.6938775510204082,京都府
20代・女性,20代,女性,789,24.40684410646388,2.9784537389100127,0.826362484157161,0.021546261089987327,0.42458808618504434,京都府
30代・女性,30代,女性,702,34.41737891737892,3.141025641025641,1.4558404558404558,0.022792022792022793,0.6609686609686609,京都府
40代・男性,40代,男性,503,44.54075546719682,4.564612326043737,1.856858846918489,0.02385685884691849,0.6699801192842942,京都府
50代・男性,50代,男性,485,54.23298969072165,4.4288659793814436,1.8288659793814432,0.016494845360824743,0.6494845360824743,京都府
30代・男性,30代,男性,443,34.66365688487585,4.553047404063205,1.652370203160271,0.011286681715575621,0.6704288939051919,京都府
20代・男性,20代,男性,441,24.73015873015873,2.909297052154195,0.8775510204081632,0.011337868480725623,0.3900226757369615,京都府
60代・男性,60代,男性,386,64.15544041450777,4.595854922279793,1.3601036269430051,0.015544041450777202,0.5906735751295337,京都府
70歳以上・女性,70歳以上,女性,215,73.36744186046512,2.9767441860465116,1.213953488372093,0.08372093023255814,0.5302325581395348,京都府
70歳以上・男性,70歳以上,男性,197,74.61421319796955,3.517766497461929,0.9949238578680203,0.005076142131979695,0.4720812182741117,京都府
