年齢層,性別,人数,平均年齢,平均資格数,平均希望勤務地数,国家資格保有率
20代,男性,441,24.73015873015873,0.8775510204081632,2.909297052154195,14.965986394557824
20代,女性,789,24.40684410646388,0.826362484157161,2.9784537389100127,15.716096324461343
30代,男性,443,34.66365688487585,1.652370203160271,4.553047404063205,40.85778781038375
30代,女性,702,34.41737891737892,1.4558404558404558,3.141025641025641,35.18518518518518
40代,男性,503,44.54075546719682,1.856858846918489,4.564612326043737,43.141153081510936
40代,女性,997,44.90972918756269,1.5586760280842527,2.752256770310933,41.123370110330995
50代,男性,485,54.23298969072165,1.8288659793814432,4.4288659793814436,36.49484536082474
50代,女性,1398,54.54577968526466,1.511444921316166,2.6773962804005724,38.2689556509299
60代,男性,386,64.15544041450777,1.3601036269430051,4.595854922279793,21.243523316062177
60代,女性,931,63.77228786251343,1.4092373791621913,2.7035445757250267,37.59398496240601
70歳以上,男性,197,74.61421319796955,0.9949238578680203,3.517766497461929,8.121827411167512
70歳以上,女性,215,73.36744186046512,1.213953488372093,2.9767441860465116,34.883720930232556
